,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Global_Sales
5841,F1 2001,PS2,2001.0,Racing,Electronic Arts,0.07,0.06,0.0,0.02,83.0,13.0,8.3,9.0,E,0.15
5842,Top Gun: Combat Zones,GC,2002.0,Simulation,Titus,0.12,0.03,0.0,0.0,59.0,10.0,7.1,7.0,E,0.15
5843,SpongeBos Truth or Square,DS,2009.0,Action,THQ,0.07,0.07,0.0,0.01,,,,,E,0.15000000000000002
5844,NHL 09,PS2,2008.0,Sports,Electronic Arts,0.07,0.06,0.0,0.02,,,7.6,7.0,E10+,0.15
5845,Fantastic Four: Rise of the Silver Surfer,PS3,2007.0,Action,Take-Two Interactive,0.12,0.02,0.0,0.02,47.0,26.0,6.2,10.0,T,0.15999999999999998
5846,All-Star Baseball 2003,GC,2002.0,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,83.0,16.0,8.0,6.0,E,0.15
5847,Burger Island,Wii,2009.0,Action,Destineer,0.14,0.0,0.0,0.01,,,,,E,0.15000000000000002
5848,Space Invaders Extreme,DS,2008.0,Shooter,Square Enix,0.12,0.01,0.01,0.01,85.0,41.0,7.6,16.0,E,0.15000000000000002
5849,Rocky,X,2002.0,Fighting,Rage Software,0.11,0.03,0.0,0.01,74.0,22.0,7.3,6.0,T,0.15000000000000002
5850,Ford Racing 2,X,2003.0,Racing,Empire Interactive,0.11,0.03,0.0,0.01,62.0,11.0,,,E,0.15000000000000002
5851,Megamind: Ultimate Showdown,PS3,2010.0,Action,THQ,0.07,0.05,0.0,0.02,43.0,5.0,4.2,6.0,E10+,0.14
5852,Thor: God of Thunder,Wii,2011.0,Action,Sega,0.1,0.04,0.0,0.01,56.0,14.0,8.0,9.0,T,0.15000000000000002
5853,Rock Band: Metal Track Pack,X360,2009.0,Misc,MTV Games,0.14,0.0,0.0,0.01,,,,,T,0.15000000000000002
5854,BlazBlue: Chrono Phantasma Extend,PS4,2015.0,Action,PQube,0.07,0.03,0.02,0.02,80.0,10.0,7.7,31.0,T,0.14
5855,Skylanders Giants,3DS,2012.0,Action,Activision,0.13,0.01,0.0,0.02,59.0,9.0,5.0,13.0,E10+,0.16
5856,Petz: Dogz Talent Show,DS,2009.0,Simulation,Ubisoft,0.14,0.0,0.0,0.01,,,,,E,0.15000000000000002
5857,BloodRayne 2,X,2004.0,Shooter,THQ,0.11,0.03,0.0,0.01,71.0,35.0,8.5,4.0,M,0.15000000000000002
5858,Earth Defense Force 2025,X360,2013.0,Shooter,D3Publisher,0.06,0.03,0.05,0.01,68.0,25.0,8.1,63.0,M,0.15000000000000002
5859,Jaws Unleashed,X,2006.0,Action,THQ,0.11,0.03,0.0,0.01,51.0,29.0,6.2,9.0,M,0.15000000000000002
5860,Star Trek: Voyager Elite Force,PS2,2001.0,Shooter,Codemasters,0.07,0.06,0.0,0.02,52.0,12.0,6.4,5.0,T,0.15
5861,X-Men: The Official Game,GC,2006.0,Action,Activision,0.12,0.03,0.0,0.0,50.0,31.0,6.3,8.0,T,0.15
5862,Brain Boost: Gamma Wave,DS,2005.0,Puzzle,505 Games,0.14,0.0,0.0,0.01,40.0,12.0,,,E,0.15000000000000002
5863,All-Star Baseball 2003,GBA,2002.0,Sports,Acclaim Entertainment,0.11,0.04,0.0,0.0,77.0,6.0,,,E,0.15
5864,Major League Baseball 2K12,Wii,2012.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,,,,,E,0.15000000000000002
5865,Steep,XOne,2016.0,Sports,Ubisoft,0.08,0.06,0.0,0.01,74.0,15.0,6.6,50.0,T,0.15000000000000002
5866,187: Ride or Die,PS2,2005.0,Racing,Ubisoft,0.07,0.06,0.0,0.02,52.0,33.0,6.8,12.0,M,0.15
5867,Skylanders Imaginators,XOne,2016.0,Platform,Activision,0.09,0.05,0.0,0.01,78.0,14.0,5.3,9.0,E10+,0.15000000000000002
5868,Karaoke Revolution Glee: Volume 3,X360,2011.0,Misc,Konami Digital Entertainment,0.14,0.0,0.0,0.01,,,,,T,0.15000000000000002
5869,Geist,GC,2005.0,Adventure,Nintendo,0.11,0.03,0.0,0.0,66.0,43.0,8.5,24.0,M,0.14
5870,eJay Clubworld,PS2,2002.0,Misc,Empire Interactive,0.07,0.06,0.0,0.02,69.0,5.0,8.6,10.0,E,0.15
5871,The Incredibles: Rise of the Underminer,DS,2005.0,Action,THQ,0.13,0.01,0.0,0.01,54.0,6.0,,,E10+,0.15000000000000002
5872,Life is Strange,XOne,2016.0,Adventure,Square Enix,0.11,0.03,0.0,0.01,85.0,4.0,8.7,128.0,M,0.15000000000000002
5873,Street Fighter Alpha 3,GBA,2002.0,Fighting,Capcom,0.11,0.04,0.0,0.0,83.0,17.0,7.8,10.0,T,0.15
5874,Final Fantasy XIV: Heavensward,PS4,2015.0,Action,Square Enix,0.0,0.07,0.06,0.01,86.0,20.0,7.5,228.0,T,0.14
5875,Deponia,PC,2012.0,Adventure,Daedalic,0.0,0.13,0.0,0.02,74.0,33.0,8.2,313.0,,0.15
5876,Metal Gear Solid: Peace Walker HD Edition,PS3,2011.0,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,,,8.0,61.0,T,0.15
5877,Ridge Racer DS,DS,2004.0,Racing,Namco Bandai Games,0.14,0.0,0.0,0.01,63.0,35.0,6.7,7.0,E,0.15000000000000002
5878,High Velocity Bowling,PS3,2010.0,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,66.0,14.0,8.1,23.0,E10+,0.14
5879,The Quest Trio,DS,2008.0,Puzzle,Avanquest,0.13,0.0,0.0,0.01,,,,,E,0.14
5880,Brain Boost: Beta Wave,DS,2005.0,Puzzle,505 Games,0.14,0.0,0.0,0.01,39.0,12.0,2.5,4.0,E,0.15000000000000002
5881,Armored Core: For Answer,X360,2008.0,Simulation,Ubisoft,0.06,0.01,0.07,0.01,64.0,22.0,7.7,38.0,T,0.15000000000000002
5882,Shenmue II,DC,2001.0,Adventure,Sega,0.0,0.0,0.15,0.0,88.0,9.0,9.4,203.0,T,0.15
5883,Major League Baseball 2K8,PS2,2008.0,Sports,Bethesda Softworks,0.07,0.06,0.0,0.02,,,6.5,4.0,E,0.15
5884,Capcom Classics Collection,X,2005.0,Misc,Capcom,0.11,0.03,0.0,0.01,81.0,23.0,,,T,0.15000000000000002
5885,Blazing Angels 2: Secret Missions of WWII,PS3,2007.0,Simulation,Ubisoft,0.1,0.03,0.0,0.02,70.0,10.0,7.2,12.0,T,0.15
5886,Fugitive Hunter: War on Terror,PS2,2003.0,Shooter,Play It,0.07,0.06,0.0,0.02,35.0,15.0,5.0,23.0,M,0.15
5887,The Incredible Hulk: Ultimate Destruction,GC,2005.0,Action,Vivendi Games,0.11,0.03,0.0,0.0,84.0,30.0,8.5,15.0,T,0.14
5888,Candace Kanes Candy Factory,Wii,2008.0,Action,Destineer,0.14,0.0,0.0,0.01,,,,,E,0.15000000000000002
5889,Prince of Persia: The Two Thrones,GC,2005.0,Action,Ubisoft,0.11,0.03,0.0,0.0,84.0,34.0,8.1,22.0,M,0.14
5890,Pac-Man World 3,X,2005.0,Platform,Namco Bandai Games,0.11,0.04,0.0,0.01,65.0,16.0,,,E,0.16
5891,SNK Arcade Classics Vol. 1,PSP,2008.0,Misc,Ignition Entertainment,0.13,0.0,0.01,0.01,68.0,13.0,,,T,0.15000000000000002
5892,PaRappa The Rapper,PSP,2006.0,Misc,Sony Computer Entertainment,0.11,0.0,0.02,0.02,67.0,43.0,5.2,16.0,E,0.15
5893,All-Star Baseball 2005,X,2004.0,Sports,Acclaim Entertainment,0.11,0.03,0.0,0.01,75.0,31.0,8.8,12.0,E,0.15000000000000002
5894,Backyard Sports: Sandlot Sluggers,Wii,2010.0,Sports,Atari,0.14,0.0,0.0,0.01,,,,,E,0.15000000000000002
5895,Batman Begins,GC,2005.0,Action,Electronic Arts,0.11,0.03,0.0,0.0,66.0,38.0,7.2,10.0,T,0.14
5896,Nancy Drew: The White Wolf of Icicle Creek,Wii,2008.0,Adventure,Sega,0.14,0.0,0.0,0.01,67.0,9.0,,,E,0.15000000000000002
5897,Toy Story Racer,PS,2001.0,Racing,Activision,0.08,0.06,0.0,0.01,76.0,8.0,8.7,9.0,E,0.15000000000000002
5898,Ys: The Oath in Felghana,PSP,2010.0,Role-Playing,Falcom Corporation,0.09,0.0,0.04,0.01,80.0,25.0,8.3,57.0,T,0.14
5899,Crash: Twinsanity,X,2004.0,Platform,Vivendi Games,0.11,0.03,0.0,0.01,66.0,30.0,8.7,29.0,E,0.15000000000000002
5900,Pro Evolution Soccer 2015,XOne,2014.0,Sports,Konami Digital Entertainment,0.03,0.1,0.0,0.01,79.0,9.0,7.3,65.0,E,0.14
5901,NHL 2K10,X360,2009.0,Sports,Take-Two Interactive,0.11,0.02,0.0,0.01,69.0,31.0,7.6,16.0,E10+,0.14
5902,Batman: Return to Arkham,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.06,0.0,0.01,77.0,6.0,8.2,44.0,T,0.14
5903,Soldier of Fortune: Payback,PS3,2007.0,Shooter,Activision,0.12,0.02,0.0,0.01,50.0,14.0,5.4,13.0,M,0.15
5904,Arena Football,X,2006.0,Sports,Electronic Arts,0.11,0.03,0.0,0.01,65.0,17.0,8.5,10.0,E10+,0.15000000000000002
5905,Medal of Honor: Infiltrator,GBA,2003.0,Shooter,Electronic Arts,0.11,0.04,0.0,0.0,80.0,19.0,7.2,12.0,T,0.15
5906,Victorious: Hollywood Arts Debut,DS,2011.0,Misc,D3Publisher,0.13,0.01,0.0,0.01,,,,,E,0.15000000000000002
5907,The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008.0,Role-Playing,D3Publisher,0.13,0.0,0.0,0.01,68.0,18.0,6.0,4.0,E,0.14
5908,Just Cause 3,PC,2015.0,Action,Square Enix,0.03,0.11,0.0,0.01,74.0,50.0,5.3,539.0,M,0.15000000000000002
5909,Super Monkey Ball Deluxe,X,2005.0,Misc,Sega,0.11,0.03,0.0,0.01,81.0,25.0,8.2,9.0,E,0.15000000000000002
5910,The Cursed Crusade,X360,2011.0,Action,DTP Entertainment,0.08,0.05,0.0,0.01,39.0,27.0,4.4,29.0,M,0.14
5911,Jurassic: The Hunted,Wii,2009.0,Shooter,Activision,0.14,0.0,0.0,0.01,,,,,T,0.15000000000000002
5912,Charm Girls Club: Pajama Party,Wii,2009.0,Misc,Electronic Arts,0.14,0.0,0.0,0.01,,,,,E,0.15000000000000002
5913,SpongeBos Boating Bash,DS,2010.0,Misc,THQ,0.13,0.0,0.0,0.01,,,,,E,0.14
5914,Active Life Explorer,Wii,2010.0,Sports,Namco Bandai Games,0.14,0.0,0.0,0.01,,,,,E,0.15000000000000002
5915,Rayman Origins,3DS,2012.0,Platform,Ubisoft,0.06,0.08,0.0,0.01,71.0,8.0,6.2,66.0,E10+,0.15000000000000002
5916,Tom Clancys Ghost Recon,GC,2003.0,Shooter,Ubisoft,0.11,0.03,0.0,0.0,59.0,15.0,5.4,17.0,M,0.14
5917,Pac-Man Party 3D,3DS,2011.0,Misc,Namco Bandai Games,0.09,0.04,0.0,0.01,43.0,11.0,5.4,11.0,E,0.14
5918,Darkstalkers Chronicle: The Chaos Tower,PSP,2004.0,Fighting,Capcom,0.13,0.0,0.0,0.01,74.0,27.0,7.9,25.0,T,0.14
5919,Terraria,PC,2011.0,Action,506 Games,0.0,0.13,0.0,0.01,83.0,29.0,8.5,1625.0,T,0.14
5920,Ben 10 Galactic Racing,3DS,2011.0,Racing,D3Publisher,0.07,0.07,0.0,0.01,,,,,E,0.15000000000000002
5921,Bakugan Battle Brawlers: Defenders of the Core,X360,2010.0,Action,Activision,0.11,0.02,0.0,0.01,62.0,10.0,,,E10+,0.14
5922,Mad Dash Racing,X,2001.0,Racing,Eidos Interactive,0.11,0.03,0.0,0.01,65.0,21.0,7.7,6.0,T,0.15000000000000002
5923,WWE 13,Wii,2012.0,Action,THQ,0.11,0.02,0.0,0.01,74.0,4.0,6.0,9.0,T,0.14
5924,Summon Night 5,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,74.0,7.0,8.3,6.0,T,0.15
5925,Black Rock Shooter: The Game,PSP,2011.0,Role-Playing,NIS America,0.0,0.0,0.15,0.0,66.0,19.0,7.2,39.0,T,0.15
5926,BMX XXX,PS2,2002.0,Sports,Acclaim Entertainment,0.07,0.06,0.0,0.02,54.0,14.0,4.4,18.0,M,0.15
5927,Boktai: The Sun is in Your Hand,GBA,2003.0,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,83.0,31.0,9.6,16.0,E,0.14
5928,Guilty Gear X2 #Reload,X,2004.0,Fighting,Zoo Digital Publishing,0.11,0.03,0.0,0.01,86.0,34.0,7.6,12.0,T,0.15000000000000002
5929,F1 2012,PC,2012.0,Racing,Codemasters,0.01,0.11,0.0,0.02,80.0,15.0,6.9,115.0,E,0.13999999999999999
5930,NBA Ballers: Chosen One,PS3,2008.0,Sports,Midway Games,0.13,0.0,0.0,0.02,54.0,23.0,6.5,4.0,E,0.15
5931,Elf: The Movie,GBA,2004.0,Action,Crave Entertainment,0.1,0.04,0.0,0.0,,,,,E,0.14
5932,MLB SlugFest 20-03,GC,2002.0,Sports,Midway Games,0.11,0.03,0.0,0.0,80.0,10.0,7.5,4.0,E,0.14
5933,Tiger Woods PGA Tour,DS,2004.0,Sports,Electronic Arts,0.13,0.0,0.0,0.01,64.0,21.0,7.4,7.0,E,0.14
5934,Ultimate Board Game Collection,Wii,2007.0,Misc,Xplosiv,0.13,0.0,0.0,0.01,,,,,E,0.14
5935,Grabbed by the Ghoulies,X,2003.0,Action,Microsoft Game Studios,0.11,0.03,0.0,0.01,66.0,42.0,7.3,29.0,E,0.15000000000000002
5936,Cars: Mater-National Championship,X360,2007.0,Racing,THQ,0.13,0.0,0.0,0.01,58.0,9.0,7.8,6.0,E,0.14
5937,Rayman Raving Rabbids,DS,2007.0,Misc,Ubisoft,0.13,0.01,0.0,0.01,56.0,13.0,6.1,8.0,E,0.15000000000000002
5938,Shadow Hearts: From The New World,PS2,2005.0,Role-Playing,Ghostlight,0.07,0.06,0.0,0.02,76.0,42.0,8.1,34.0,T,0.15
5939,CSI: 3 Dimensions of Murder,PS2,2007.0,Adventure,Ubisoft,0.07,0.06,0.0,0.02,,,,,M,0.15
5940,Barbarian,PS2,2002.0,Fighting,Titus,0.07,0.06,0.0,0.02,63.0,22.0,,,T,0.15
5941,Rubiks World,Wii,2008.0,Puzzle,Game Factory,0.12,0.01,0.0,0.01,64.0,9.0,,,E,0.14
5942,L.A. Rush,X,2005.0,Racing,Midway Games,0.11,0.03,0.0,0.01,59.0,36.0,3.0,4.0,T,0.15000000000000002
5943,Record of Agarest War 2,PS3,2010.0,Role-Playing,Compile Heart,0.09,0.0,0.04,0.01,56.0,6.0,7.2,36.0,T,0.14
5944,QuickSpot,DS,2006.0,Misc,Namco Bandai Games,0.01,0.0,0.13,0.0,68.0,18.0,,,E10+,0.14
5945,Pipe Dreams 3D,PS,2001.0,Puzzle,Empire Interactive,0.08,0.05,0.0,0.01,,,,,E,0.14
5946,Spider-Man: Friend or Foe,Wii,2007.0,Action,Activision,0.13,0.0,0.0,0.01,59.0,29.0,8.0,6.0,E10+,0.14
5947,Power Rangers: Super Legends,PS2,2007.0,Action,Disney Interactive Studios,0.07,0.06,0.0,0.02,,,3.0,5.0,E10+,0.15
5948,Jurassic: The Hunted,PS2,2009.0,Shooter,Activision,0.07,0.06,0.0,0.02,,,,,T,0.15
5949,Brothers: A Tale of Two Sons,PS4,2015.0,Adventure,505 Games,0.04,0.08,0.0,0.02,81.0,10.0,8.5,78.0,T,0.13999999999999999
5950,Rayman 3,GBA,2003.0,Platform,Ubisoft,0.1,0.04,0.0,0.0,83.0,21.0,7.8,8.0,E,0.14
5951,Fatal Frame,PS2,2001.0,Action,Wanadoo,0.07,0.06,0.0,0.02,74.0,22.0,8.9,73.0,T,0.15
5952,Cave Story 3D,3DS,2011.0,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,82.0,29.0,7.7,72.0,E10+,0.14
5953,Wild ARMs 4,PS2,2005.0,Role-Playing,505 Games,0.07,0.06,0.0,0.02,69.0,38.0,6.9,18.0,T,0.15
5954,Syndicate,PS3,2012.0,Shooter,EA Games,0.07,0.06,0.0,0.02,75.0,29.0,6.5,106.0,M,0.15
5955,Ratatouille,GC,2007.0,Action,THQ,0.11,0.03,0.0,0.0,60.0,7.0,5.6,7.0,E,0.14
5956,G.I. Joe: The Rise of Cobra,PS2,2009.0,Action,Electronic Arts,0.11,0.0,0.0,0.03,50.0,4.0,2.3,6.0,T,0.14
5957,Casper: Spirit Dimensions,PS2,2001.0,Platform,TDK Mediactive,0.07,0.05,0.0,0.02,58.0,7.0,3.5,6.0,E,0.14
5958,Transformers: Devastation,XOne,2015.0,Action,Activision,0.09,0.04,0.0,0.01,75.0,25.0,7.9,56.0,T,0.14
5959,Heroes of Mana,DS,2007.0,Strategy,Square Enix,0.07,0.01,0.05,0.01,66.0,32.0,,,E10+,0.14
5960,SafeCracker: The Ultimate Puzzle Adventure,DS,2009.0,Puzzle,The Adventure Company,0.07,0.06,0.0,0.01,43.0,4.0,,,E,0.14
5961,Geometry Wars: Galaxies,DS,2007.0,Shooter,Vivendi Games,0.13,0.0,0.0,0.01,79.0,36.0,7.9,26.0,E,0.14
5962,Disney's Planes,Wii,2013.0,Simulation,Disney Interactive Studios,0.07,0.07,0.0,0.01,,,,,E,0.15000000000000002
5963,Adrenalin Misfits,X360,2010.0,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01,50.0,32.0,,,E,0.15
5964,Alien: Isolation,PC,2014.0,Shooter,Sega,0.0,0.14,0.0,0.01,81.0,41.0,8.4,1603.0,M,0.15000000000000002
5965,Mega Man Powered Up,PSP,2006.0,Platform,Capcom,0.12,0.01,0.0,0.02,82.0,28.0,7.5,36.0,E,0.15
5966,Balloon Pop,DS,2009.0,Puzzle,UFO Interactive,0.13,0.0,0.0,0.01,,,,,E,0.14
5967,G.I. Joe: The Rise of Cobra,PSP,2009.0,Action,Electronic Arts,0.11,0.02,0.0,0.02,,,,,T,0.15
5968,Class of Heroes,PSP,2008.0,Role-Playing,Acquire,0.06,0.0,0.08,0.01,61.0,12.0,7.1,12.0,T,0.15000000000000002
5969,Second Sight,PS2,2004.0,Adventure,Codemasters,0.07,0.05,0.0,0.02,76.0,48.0,8.0,23.0,T,0.14
5970,Monster House,PS2,2006.0,Adventure,THQ,0.07,0.05,0.0,0.02,59.0,27.0,,,E10+,0.14
5971,Phantom Brave,PS2,2004.0,Role-Playing,Tecmo Koei,0.07,0.05,0.0,0.02,81.0,40.0,7.9,22.0,T,0.14
5972,Thor: God of Thunder,X360,2011.0,Action,Sega,0.09,0.04,0.0,0.01,38.0,40.0,5.7,22.0,T,0.14
5973,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001.0,Racing,THQ,0.08,0.05,0.0,0.01,70.0,8.0,,,T,0.14
5974,Bejeweled 3,PS3,2010.0,Puzzle,PopCap Games,0.13,0.0,0.0,0.02,76.0,5.0,8.2,5.0,E,0.15
5975,Harvest Moon: Hero of Leaf Valley,PSP,2009.0,Simulation,Rising Star Games,0.07,0.02,0.05,0.01,74.0,6.0,7.9,12.0,E,0.15000000000000002
5976,FIFA Soccer 2005,GC,2004.0,Sports,Electronic Arts,0.11,0.03,0.0,0.0,78.0,22.0,8.5,6.0,E,0.14
5977,Diner Dash: Flo on the Go,DS,2009.0,Puzzle,Zoo Games,0.13,0.0,0.0,0.01,,,,,E,0.14
5978,DiRT Rally,XOne,2016.0,Racing,Codemasters,0.05,0.08,0.0,0.01,86.0,17.0,8.1,61.0,E,0.14
5979,Hexyz Force,PSP,2009.0,Role-Playing,Atlus,0.07,0.0,0.06,0.01,68.0,13.0,7.3,21.0,T,0.14
5980,Nicktoons: ML,X360,2011.0,Sports,Take-Two Interactive,0.13,0.0,0.0,0.01,,,7.6,7.0,E,0.14
5981,Jonny Moseley Mad Trix,PS2,2001.0,Sports,3DO,0.07,0.05,0.0,0.02,44.0,14.0,5.7,6.0,T,0.14
5982,MTV Music Generator 3: This Is the Remix,PS2,2004.0,Misc,Codemasters,0.07,0.05,0.0,0.02,79.0,28.0,8.6,8.0,T,0.14
5983,Cake Mania 3,DS,2009.0,Simulation,Majesco Entertainment,0.13,0.0,0.0,0.01,,,,,E,0.14
5984,Terminator 3: Rise of the Machines,X,2003.0,Action,Atari,0.11,0.03,0.0,0.01,35.0,24.0,2.0,10.0,T,0.15000000000000002
5985,SSX On Tour,X,2005.0,Sports,Electronic Arts,0.11,0.03,0.0,0.01,81.0,35.0,8.1,10.0,E,0.15000000000000002
5986,NCAA College Basketball 2K3,X,2002.0,Sports,Sega,0.11,0.03,0.0,0.01,84.0,12.0,8.4,5.0,E,0.15000000000000002
5987,Victorious Boxers: Revolution,Wii,2007.0,Fighting,Ubisoft,0.07,0.0,0.06,0.01,59.0,26.0,5.4,8.0,T,0.14
5988,Farming Simulator 2013,PS3,2013.0,Simulation,Focus Home Interactive,0.0,0.09,0.02,0.02,40.0,17.0,2.9,9.0,E,0.13
5989,The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004.0,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0,63.0,25.0,6.8,12.0,E10+,0.14
5990,Doom,GBA,2001.0,Shooter,Activision,0.1,0.04,0.0,0.0,81.0,24.0,8.5,15.0,T,0.14
5991,PaRappa The Rapper 2,PS2,2001.0,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,67.0,26.0,6.6,26.0,E,0.14
5992,Kid Adventures: Sky Captain,Wii,2010.0,Action,D3Publisher,0.09,0.04,0.0,0.01,,,,,E,0.14
5993,Super Dodgeball Brawlers,DS,2008.0,Sports,Arc System Works,0.13,0.0,0.0,0.01,65.0,12.0,,,E,0.14
5994,NFL Head Coach 09,PS3,2008.0,Sports,Electronic Arts,0.13,0.0,0.0,0.01,64.0,12.0,7.1,12.0,E,0.14
5995,Hitman: Blood Money,X,2006.0,Action,Eidos Interactive,0.11,0.03,0.0,0.01,81.0,27.0,9.1,32.0,M,0.15000000000000002
5996,PANGYA: Fantasy Golf,PSP,2009.0,Sports,Takara Tomy,0.09,0.0,0.04,0.01,77.0,16.0,7.2,14.0,E10+,0.14
5997,Metal Gear Solid V: Ground Zeroes,X360,2014.0,Action,Konami Digital Entertainment,0.07,0.05,0.01,0.01,,,5.7,149.0,M,0.14
5998,Fast Food Panic,DS,2010.0,Simulation,Nobilis,0.13,0.0,0.0,0.01,,,,,E,0.14
5999,Pipe Mania,PS2,2008.0,Puzzle,Empire Interactive,0.07,0.05,0.0,0.02,68.0,4.0,,,E,0.14
6000,Gretzky NHL 06,PSP,2005.0,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,65.0,22.0,6.8,4.0,E10+,0.14
6001,NFL Blitz 20-03,X,2002.0,Sports,Midway Games,0.11,0.03,0.0,0.01,72.0,12.0,7.8,4.0,E,0.15000000000000002
6002,Thor: God of Thunder,PS3,2011.0,Action,Sega,0.07,0.05,0.0,0.02,39.0,35.0,4.4,19.0,T,0.14
6003,Pirates: The Legend of Black Kat,PS2,2002.0,Adventure,Electronic Arts,0.07,0.05,0.0,0.02,72.0,24.0,7.9,8.0,T,0.14
6004,Fur Fighters: Viggos Revenge,PS2,2001.0,Action,Acclaim Entertainment,0.07,0.05,0.0,0.02,64.0,15.0,7.3,37.0,T,0.14
6005,Scarface: The World is Yours,Wii,2007.0,Action,Vivendi Games,0.12,0.01,0.0,0.01,71.0,23.0,8.4,29.0,M,0.14
6006,Dengeki Bunko Fighting Climax,PSV,2014.0,Fighting,Sega,0.05,0.0,0.08,0.02,75.0,7.0,8.5,28.0,T,0.15
6007,The Da Vinci Code,PS2,2006.0,Action,Take-Two Interactive,0.07,0.05,0.0,0.02,54.0,43.0,8.0,24.0,T,0.14
6008,Top Spin 4,Wii,2011.0,Sports,Take-Two Interactive,0.04,0.08,0.0,0.02,54.0,8.0,7.4,7.0,E,0.13999999999999999
6009,Ford Racing Off Road,PSP,2008.0,Racing,Xplosiv,0.05,0.08,0.0,0.02,47.0,6.0,,,E,0.15
6010,Chicken Shoot,DS,2007.0,Action,Zoo Digital Publishing,0.13,0.0,0.0,0.01,19.0,4.0,2.9,8.0,E10+,0.14
6011,Dead to Rights,GC,2002.0,Shooter,Electronic Arts,0.11,0.03,0.0,0.0,77.0,16.0,8.7,7.0,M,0.14
6012,Sphinx and the Cursed Mummy,GC,2003.0,Action,THQ,0.11,0.03,0.0,0.0,79.0,22.0,8.8,12.0,T,0.14
6013,Cities: Skylines,PC,2015.0,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,85.0,60.0,8.9,1412.0,E,0.14
6014,MX vs. ATV Reflex,DS,2009.0,Racing,THQ,0.13,0.0,0.0,0.01,,,,,E,0.14
6015,Cranium Kabookii,Wii,2007.0,Misc,Ubisoft,0.13,0.0,0.0,0.01,64.0,9.0,5.4,13.0,E,0.14
6016,Cabelas Outdoor Adventures (2009),PS2,2009.0,Sports,Activision Value,0.07,0.05,0.0,0.02,,,6.6,5.0,T,0.14
6017,Heros Saga Laevatein Tactics,DS,2008.0,Role-Playing,GungHo,0.13,0.0,0.0,0.01,62.0,10.0,,,T,0.14
6018,Risen 2: Dark Waters,X360,2012.0,Role-Playing,Deep Silver,0.05,0.08,0.0,0.01,60.0,18.0,6.0,58.0,M,0.14
6019,World Tour Soccer 2003,PS2,2002.0,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,78.0,21.0,8.3,7.0,E,0.14
6020,Arctic Tale,DS,2007.0,Adventure,Zoo Digital Publishing,0.13,0.0,0.0,0.01,38.0,4.0,,,E,0.14
6021,ArmA II,PC,2009.0,Shooter,505 Games,0.0,0.12,0.0,0.02,77.0,38.0,7.5,589.0,M,0.13999999999999999
6022,Onimusha Essentials,PS2,2008.0,Action,Capcom,0.07,0.05,0.0,0.02,,,,,M,0.14
6023,Deadpool,XOne,2015.0,Action,Activision,0.1,0.03,0.0,0.01,,,5.7,23.0,M,0.14
6024,Spyro: A Heros Tail,X,2004.0,Platform,Vivendi Games,0.11,0.03,0.0,0.01,64.0,17.0,9.1,10.0,E,0.15000000000000002
6025,Drawn to Life Collection,DS,2010.0,Misc,THQ,0.13,0.0,0.0,0.01,,,,,E,0.14
6026,Eternal Poison,PS2,2008.0,Role-Playing,Banpresto,0.07,0.05,0.0,0.02,65.0,11.0,8.4,10.0,T,0.14
6027,The Orange Box,PC,2007.0,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,96.0,34.0,9.3,1500.0,M,0.14
6028,Metal Slug Anthology,Wii,2006.0,Shooter,Ignition Entertainment,0.12,0.01,0.0,0.01,73.0,38.0,8.0,22.0,T,0.14
6029,Gretzky NHL 06,PS2,2005.0,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,62.0,24.0,,,E10+,0.14
6030,Gungrave: Overdose,PS2,2004.0,Shooter,Play It,0.07,0.05,0.0,0.02,68.0,50.0,8.7,12.0,M,0.14
6031,Pro Evolution Soccer 2015,X360,2014.0,Sports,Konami Digital Entertainment,0.05,0.08,0.0,0.01,,,6.8,29.0,E,0.14
6032,Dream Pinball 3D,Wii,2008.0,Misc,SouthPeak Games,0.1,0.02,0.0,0.01,54.0,8.0,7.6,7.0,E10+,0.13
6033,NBA ShootOut 2002,PS,2001.0,Sports,Sony Computer Entertainment,0.08,0.05,0.0,0.01,53.0,10.0,,,E,0.14
